"Modulation #","E0 [eV]"
"1","-7.4573528"
"2","-8.761038"
"3","-9.7725651"
"4","-10.552641"
"5","-11.147747"
"6","-11.595616"
"7","-11.92743"
"8","-12.16892"
"9","-12.340994"
"10","-12.460453"
"11","-12.540667"
"12","-12.592171"
"13","-12.623064"
"14","-12.639198"
"15","-12.644169"
"16","-12.639198"
"17","-12.623064"
"18","-12.592171"
"19","-12.540667"
"20","-12.460453"
"21","-12.340994"
"22","-12.16892"
"23","-11.92743"
"24","-11.595616"
"25","-11.147747"
"26","-10.552641"
"27","-9.7725651"
"28","-8.761038"
"29","-7.4573528"
