"Power","Coefficient"
"0","0.020802587681"
"1","-9.71787534503e-17"
"2","0.0479138949988"
"3","1.83978096228e-17"
"4","0.0302686841209"

"Q [amu^1/2 A]","dU(Q) [eV]","dU(Q)_Fit [eV]","d_Fit [eV]","dU(Q) [meV]","dU(Q)_Fit [meV]","d_Fit [meV]"
"-3.5","5.1868162","5.14994221231","-0.0368739876883","5186.8162","5149.94221231","-36.8739876883"
"-3.25","3.883131","3.90386141289","0.0207304128931","3883.131","3903.86141289","20.7304128931"
"-3.0","2.8716039","2.90379105646","0.0321871564645","2871.6039","2903.79105646","32.1871564645"
"-2.75","2.091528","2.11426002882","0.0227320288217","2091.528","2114.26002882","22.7320288217"
"-2.5","1.496422","1.5026349049","0.00621290489679","1496.422","1502.6349049","6.21290489679"
"-2.25","1.048553","1.03911994876","-0.00943305124178","1048.553","1039.11994876","-9.43305124178"
"-2.0","0.716739","0.696757113611","-0.0199818863892","716.739","696.757113611","-19.9818863892"
"-1.75","0.475249","0.451426041796","-0.0238229582043","475.249","451.426041796","-23.8229582043"
"-1.5","0.303175","0.28184406479","-0.0213309352096","303.175","281.84406479","-21.3309352096"
"-1.25","0.183716","0.169566203209","-0.0141497967913","183.716","169.566203209","-14.1497967913"
"-1.0","0.103502","0.0989851668007","-0.00451683319928","103.502","98.9851668007","-4.51683319928"
"-0.75","0.051998","0.057331354453","0.00533335445298","51.998","57.331354453","5.33335445298"
"-0.5","0.021105","0.0346728541883","0.0135678541883","21.105","34.6728541883","13.5678541883"
"-0.25","0.004971","0.0239154431658","0.0189444431658","4.971","23.9154431658","18.9444431658"
"0.0","0.0","0.020802587681","0.020802587681","0.0","20.802587681","20.802587681"
"0.25","0.004971","0.0239154431658","0.0189444431658","4.971","23.9154431658","18.9444431658"
"0.5","0.021105","0.0346728541883","0.0135678541883","21.105","34.6728541883","13.5678541883"
"0.75","0.051998","0.057331354453","0.00533335445298","51.998","57.331354453","5.33335445298"
"1.0","0.103502","0.0989851668007","-0.00451683319928","103.502","98.9851668007","-4.51683319928"
"1.25","0.183716","0.169566203209","-0.0141497967913","183.716","169.566203209","-14.1497967913"
"1.5","0.303175","0.28184406479","-0.0213309352096","303.175","281.84406479","-21.3309352096"
"1.75","0.475249","0.451426041796","-0.0238229582043","475.249","451.426041796","-23.8229582043"
"2.0","0.716739","0.696757113611","-0.0199818863892","716.739","696.757113611","-19.9818863892"
"2.25","1.048553","1.03911994876","-0.00943305124178","1048.553","1039.11994876","-9.43305124178"
"2.5","1.496422","1.5026349049","0.00621290489679","1496.422","1502.6349049","6.21290489679"
"2.75","2.091528","2.11426002882","0.0227320288217","2091.528","2114.26002882","22.7320288217"
"3.0","2.8716039","2.90379105646","0.0321871564645","2871.6039","2903.79105646","32.1871564645"
"3.25","3.883131","3.90386141289","0.0207304128931","3883.131","3903.86141289","20.7304128931"
"3.5","5.1868162","5.14994221231","-0.0368739876883","5186.8162","5149.94221231","-36.8739876883"
